Adilabad,708972
Komaram Bheem Asifabad,515812
Mancherial,807037
Nirmal,709418
Nizamabad,1571022
Jagtial,985417
Peddapalli,795332
Kamareddy,972625
Rajanna Sircilla,552037
Karimnagar,1005711
Jayashankar Bhupalpally,416763
Sangareddy,1527628
Medak,767428
Siddipet,1012065
Jangaon,566376
Warangal (Urban),1080858
Warangal (Rural),718537
Mulugu,257744
Bhadradri Kothagudem,1069261
Khammam,1401639
Mahabubabad,774549
Suryapet,1099560
Nalgonda,1618416
Yadadri Bhongir,739448
Medchal,2440073
Hyderabad,3943323
Ranga Reddy,2446265
Vikarabad,927140
Narayanpet,566874
Mahbubnagar,919903
Nagarkurnool,893308
Wanaparthy,577758
Jogulamba Gadwal,609990
